title,url,date
世界初、3Dプリンタで建てる駅舎が完成　6時間で建設完了　7月運用開始へ,https://www.itmedia.co.jp/news/articles/2504/24/news154.html,2025/04/25 06:26
コナカ、15万人分の顧客情報が流出　スーツオーダーの「詳細ダウンロード」機能に大量アクセス,https://www.itmedia.co.jp/news/articles/2504/24/news152.html,2025/04/25 06:26
アスキー創業者の西和彦さん、破産手続きの終了を報告,https://www.itmedia.co.jp/news/articles/2504/24/news174.html,2025/04/25 06:26
コロナ禍後急拡大のマッチングアプリ業界、新規参入の鈍化が鮮明に　普及で成熟産業に,https://www.itmedia.co.jp/news/articles/2504/24/news167.html,2025/04/25 06:26
AI生成の曲を見破る「Spotifake」登場　AI曲の大量流通は「真摯に音楽と向き合うアーティストに不公平」,https://www.itmedia.co.jp/aiplus/articles/2504/24/news144.html,2025/04/25 06:26
【特集】コンピューティング・ロールモデル　民間企業の活用アイデア,https://www.itmedia.co.jp/news/subtop/features/quantum/index.html,2025/04/25 06:26
「Switch 2」Amazon.co.jpでの“招待制販売”スタート　購入方法は？,https://www.itmedia.co.jp/news/articles/2504/24/news180.html,2025/04/25 06:26
マイニンテンドーストア、緊急メンテナンス　「Switch2」当落発表控え,https://www.itmedia.co.jp/news/articles/2504/24/news150.html,2025/04/25 06:26
「ひんやり水流快眠マット3」、サンコーが発売　本体は冷風扇にも,https://www.itmedia.co.jp/news/articles/2504/21/news158.html,2025/04/25 06:26
農機具王、お米も当たる「農ガチャ」自販機を店頭に設置　全国を巡回へ,https://www.itmedia.co.jp/news/articles/2504/21/news156.html,2025/04/25 06:26
東京から日帰り大阪万博レポート　滞在5時間、予約なしでこれだけできた,https://www.itmedia.co.jp/news/articles/2504/23/news075.html,2025/04/25 06:26
「Switch 2」、第1回抽選は“相当数当選しない”──任天堂・古川社長が説明　日本だけで約220万人応募,https://www.itmedia.co.jp/news/articles/2504/23/news180.html,2025/04/25 06:26
IIJ不正アクセス、原因は「Active! mail」の脆弱性を悪用したゼロデイ攻撃　586契約で漏えい判明,https://www.itmedia.co.jp/news/articles/2504/22/news156.html,2025/04/25 06:26
JT流通子会社のシステム障害、公表から5日経過も復旧できず　販売店は在庫減少か,https://www.itmedia.co.jp/news/articles/2504/22/news174.html,2025/04/25 06:26
「Switch 2」の“偽当選メール”を確認　任天堂が注意喚起,https://www.itmedia.co.jp/news/articles/2504/24/news187.html,2025/04/25 06:26
ITmedia NEWSメールマガジン最新号 テクノロジートレンドを週3配信,https://www.itmedia.co.jp/news/subtop/info/lp/news_mailmag.html,2025/04/25 06:26
